name,region
kafka:gcp_hk_prod_individual_kyc_case_status_changed_event,hk
kafka:gcp_hk_prod_individual_kyc_case_sync_event,hk
kafka:gcp_hk_prod_individual_kyc_verification_case_result,hk
kafka:gcp_hk_prod_integrations_connection_events,hk
kafka:gcp_hk_prod_internal_payment_update_fusion_event_topic,hk
kafka:gcp_hk_prod_invoice_item_domain_event,hk
kafka:gcp_hk_prod_iss_ft_event_hk_topic,us
kafka:gcp_hk_prod_issuing_core_banking_grpc_request,hk
kafka:gcp_hk_prod_kyb_domain_events,hk
kafka:gcp_hk_prod_kyc_domain_event,hk
kafka:gcp_hk_prod_metric_platform.event.user_signin_event,alihk
kafka:gcp_hk_prod_midas_account_price_update_event,hk
kafka:gcp_hk_prod_midas_record_topic,hk
kafka:gcp_hk_prod_midas_record_topic,us
kafka:gcp_hk_prod_orderCancel_ledger_event,hk
kafka:gcp_hk_prod_order_ledger_event,hk
kafka:gcp_hk_prod_order_ledger_event,us
kafka:gcp_hk_prod_pa.post_authorization_transaction_fail_events,hk
kafka:gcp_hk_prod_pa.post_fraud_transaction_events,hk
kafka:gcp_hk_prod_pa.pre_fraud_transaction_events,hk
kafka:gcp_hk_prod_pa.risk.post_fraud_transaction_events,hk
kafka:gcp_hk_prod_pa.risk.pre_fraud_transaction_events,hk
kafka:gcp_hk_prod_pa_internal_notification_event_topic,hk
kafka:gcp_hk_prod_pa_schedule_endpoint_topic,hk
kafka:gcp_hk_prod_payment_core_clearing_event_topic,hk
kafka:gcp_hk_prod_payment_core_event_topic,hk
kafka:gcp_hk_prod_payment_core_event_topic,unknown
kafka:gcp_hk_prod_payment_executor_transaction_status_topic,hk
kafka:gcp_hk_prod_rails_gateway_statement_entry,sg
kafka:gcp_hk_prod_reconciliation_settlement_bank_statement,hk
kafka:gcp_hk_prod_refund_received_event_topic,hk
kafka:gcp_hk_prod_risk_decision_events,hk
kafka:gcp_hk_prod_risk_list_topic,hk
kafka:gcp_hk_prod_risk_safeguarding_topic,unknown
kafka:gcp_hk_prod_risk_tm_events,alihk
kafka:gcp_hk_prod_settlement_batch_record_topic,hk
kafka:gcp_hk_prod_settlement_entry_record_topic,hk
kafka:gcp_hk_prod_spend_management_domain_transactions,hk
kafka:gcp_hk_prod_spend_management_notes_sync_commands,hk
kafka:gcp_hk_prod_spend_management_receipt_sync_commands,hk
kafka:gcp_hk_prod_spend_management_sync_results,hk
kafka:gcp_hk_prod_tm.transaction_charge,alihk
kafka:gcp_hk_prod_tm.transaction_deposit_post_events,alihk
kafka:gcp_hk_prod_tm.transaction_deposit_pre_events,alihk
kafka:gcp_hk_prod_tm.transaction_payment_post_events,alihk
kafka:gcp_hk_prod_tm.transaction_payment_pre_events,alihk
kafka:gcp_hk_prod_tm.transaction_transfer,alihk
kafka:gcp_hk_prod_tm_case_events,alihk
kafka:gcp_hk_prod_tm_case_result,alihk
kafka:gcp_hk_prod_tm_name_screen_request_events,alihk
kafka:gcp_hk_prod_tm_name_screen_result,alihk
kafka:gcp_hk_prod_tm_payment_events,alihk
kafka:gcp_hk_prod_tsp_token_status_topic,hk
kafka:gcp_hk_prod_tsp_token_topic,hk
kafka:gcp_hk_prod_visa_authorizations,hk
kafka:gcp_hk_prod_wxpay_notification_topic,hk
kafka:gcp_nl_prod.notification.channels_webhook,nl
kafka:gcp_nl_prod.notification.channels_webhook_slow,nl
kafka:gcp_nl_prod.notification.history_webhook,nl
kafka:gcp_nl_prod.risk.ip_sync_event,nl
kafka:gcp_nl_prod_acquire_setting_update_notification_topic,nl
