fromService,fromRegion,fromLabel,toService,toRegion,toLabel
airboardng-api,alihk,Service,airwallex-fileservice,alihk,Service
airboardng-api,alihk,Service,individual-kyc,hk,Service
airboardng-api,sg,Service,clientvbaservice,sg,Service
airboardng-api,sg,Service,enrollmentservice,sg,Service
airboardng-api,alihk,Service,ali-prod-hk-conversion-api,hk,Service
airboardng-api,alihk,Service,etawxocs,hk,Service
airboardng-api,sg,Service,airwallex-fileservice,sg,Service
airboardng-api,sg,Service,appplatformservice,sg,Service
airboardng-api,sg,Service,appdirectdebitservice,sg,Service
airboardng-api,alihk,Service,apptransactionservice,hk,Service
airboardng-api,sg,Service,scalescheduler,sg,Service
airboardng-api,sg,Service,creditadviceservice,sg,Service
airboardng-api,sg,Service,postgresql:airboard_ng_api,sg,DB
airboardng-api,alihk,Service,ali-prod-hk-open-position-api,hk,Service
airboardng-api,alihk,Service,integrations-airboard-api-prod,hk,Service
airboardng-api,alihk,Service,accountingservice,hk,Service
airboardng-api,alihk,Service,postgresql:airboard_ng_api,alihk,DB
airboardng-api,alihk,Service,clientvbaservice,hk,Service
airboardng-api,sg,Service,gcp-prod-sg-conversion-api,sg,Service
airboardng-api,sg,Service,app-reconciliation,sg,Service
airboardng-api,alihk,Service,creditadviceservice,hk,Service
airboardng-api,alihk,Service,enrollmentservice,hk,Service
airboardng-api,alihk,Service,appdirectdebitservice,hk,Service
airboardng-api,alihk,Service,appplatformservice,hk,Service
airboardng-api,alihk,Service,payoutorder,hk,Service
airboardng-api,alihk,Service,awx-account-service-local,alihk,Service
airboardng-api,sg,Service,tm-name-screening-service,sg,Service
airboardng-api,sg,Service,apptransactionservice,sg,Service
airboardng-api,alihk,Service,tm-transaction-processor,alihk,Service
airboardng-api,alihk,Service,app-billing,hk,Service
airboardng-api,alihk,Service,search-service,hk,Service
airboardng-api,sg,Service,awx-account-service-local,sg,Service
airboardng-api,sg,Service,tm-transaction-processor,sg,Service
airboardng-api,sg,Service,search-service,sg,Service
airboardng-api,alihk,Service,apprefdataservice,hk,Service
airboardng-api,sg,Service,airwallex-tm-case-management,sg,Service
airwallex-airboard-ng-auth-graphql-server,sg,Service,postgresql:airboardngauth,sg,DB
airwallex-compliance-tm-manager,alihk,Service,apptransactionservice,hk,Service
airwallex-compliance-tm-manager,alihk,Service,rabbitmq:event_global,alihk,Service
airwallex-compliance-tm-manager,sg,Service,risk-data-service,sg,Service
airwallex-compliance-tm-manager,sg,Service,rabbitmq,sg,Service
airwallex-compliance-tm-manager,alihk,Service,kafka:gcp_hk_prod_tm_payment_events,alihk,MessageQueue
airwallex-compliance-tm-manager,alihk,Service,kafka:gcp_hk_prod_tm_name_screen_request_events,alihk,MessageQueue
airwallex-compliance-tm-manager,sg,Service,tm-list-management,sg,Service
airwallex-compliance-tm-manager,alihk,Service,awx-account-service,alihk,Service
airwallex-compliance-tm-manager,alihk,Service,finance-client-wallet-v2,hk,Service
airwallex-compliance-tm-manager,sg,Service,tm-transaction-processor,sg,Service
airwallex-compliance-tm-manager,alihk,Service,tm-list-management,hk,Service
airwallex-compliance-tm-manager,alihk,Service,risk-data-service,alihk,Service
airwallex-compliance-tm-manager,alihk,Service,rules-engine,alihk,Service
airwallex-compliance-tm-manager,sg,Service,rulesengine,sg,Service
airwallex-compliance-tm-manager,sg,Service,awx-account-service-rw,sg,Service
airwallex-compliance-tm-manager,sg,Service,postgresql:compliance,sg,DB
airwallex-compliance-tm-manager,sg,Service,kafka:gcp_sg_prod_tm_payment_events,sg,MessageQueue
airwallex-compliance-tm-manager,sg,Service,apptransactionservice,sg,Service
airwallex-compliance-tm-manager,sg,Service,prod-client-wallet-v2,sg,Service
airwallex-compliance-tm-manager,sg,Service,redis,sg,DB
airwallex-compliance-tm-manager,sg,Service,kafka:gcp_sg_prod_tm_name_screen_request_events,sg,MessageQueue
airwallex-compliance-tm-manager,sg,Service,rabbitmq:event_global,sg,Service
airwallex-compliance-tm-manager,alihk,Service,postgresql:compliance,alihk,DB
airwallex-compliance-tm-manager,hk,Service,rules-engine,alihk,Service
airwallex-compliance-tm-manager,hk,Service,redis,hk,DB
airwallex-compliance-tm-manager,alihk,Service,tm-transaction-processor,alihk,Service
airwallex-compliance-tm-manager,alihk,Service,rabbitmq,alihk,Service
airwallex-tm-case-management,sg,Service,redis,sg,DB
airwallex-tm-case-management,alihk,Service,kafka:gcp_hk_prod_tm_case_result,alihk,MessageQueue
airwallex-tm-case-management,alihk,Service,postgresql:compliance,alihk,DB
airwallex-tm-case-management,alihk,Service,risk-industry-category-service,hk,Service
airwallex-tm-case-management,alihk,Service,airboardng-api,alihk,Service
airwallex-tm-case-management,sg,Service,postgresql:compliance,sg,DB
airwallex-tm-case-management,sg,Service,awx-account-service-rw,sg,Service
airwallex-tm-case-management,alihk,Service,awx-account-service,alihk,Service
airwallexpayclearing,sg,Service,postgresql:airwallexpayclearing,sg,DB
airwallexpayclearing,sg,Service,redis,sg,DB
airwallexpaygraphql,hk,Service,apptransactionservice,hk,Service
airwallexpaygraphql,hk,Service,appwebappapiservice,hk,Service
airwallexpaygraphql,hk,Service,airwallexpayservice,hk,Service
airwallexpaygraphql,hk,Service,awx-account-service,alihk,Service
airwallexpayservice,hk,Service,awx-account-service,alihk,Service
airwallexpayservice,sg,Service,airwallexpayservice,sg,Service
airwallexpayservice,hk,Service,airwallexpayservice,sg,Service
airwallexpayservice,hk,Service,tm-transaction-processor,alihk,Service
airwallexpayservice,sg,Service,postgresql:airwallexpayservice,sg,DB
airwallexpayservice,hk,Service,postgresql:airwallexpayservice,hk,DB
airwallexpayservice,hk,Service,kafka:gcp_hk_prod.airwallexpay.airwallex_pay_service.transaction_journal,hk,MessageQueue
airwallexpayservice,sg,Service,airwallexpayservice,hk,Service
