serviceName,region,label
execution-scheduler,unknown,Service
execution-signaler,unknown,Service
expense-categorization-prod,hk,Service
expense-categorization-prod,sg,Service
external-wallet-worker,hk,Service
external-wallet-worker,sg,Service
finance-app-fee-engine,hk,Service
finance-balance-monitor,hk,Service
finance-balance-notification,hk,Service
finance-client-wallet-events,hk,Service
finance-client-wallet-v2,hk,Service
finance-client-wallet-v3,hk,Service
finance-client-wallet-v3,unknown,Service
finance-client-wallet-v3-event-service,hk,Service
finance-core-banking-api-gateway,hk,Service
finance-funding-source-service,hk,Service
finance-lending-service,hk,Service
finance-order-aggregation-service,hk,Service
finance-report-concierge-service,hk,Service
finance-subwallet-management-api,hk,Service
financialtransaction,hk,Service
financialtransaction,nl,Service
financialtransaction,sg,Service
firm-wallet-worker,hk,Service
firm-wallet-worker,sg,Service
firm_wallet.wallet_service_v1.WalletService,hk,Service
firm_wallet.wallet_service_v1.WalletService,sg,Service
fis-query-gateway,sg,Service
fis-query-gateway,unknown,Service
fis_configuration.FisConfigurationAccountService,hk,Service
fis_configuration.FisConfigurationAccountService,sg,Service
fis_configuration.FisConfigurationEntityService,hk,Service
fis_configuration.FisConfigurationEntityService,sg,Service
fis_configuration.FisConfigurationPeriodService,hk,Service
fis_configuration.FisConfigurationPeriodService,sg,Service
fis_configuration.FisConfigurationRateService,hk,Service
fis_configuration.FisConfigurationRateService,sg,Service
fraud-case,hk,Service
fraud-case,nl,Service
fraud-case,sg,Service
fraud-case,us,Service
fraud-detection,hk,Service
fraud-detection,nl,Service
fraud-detection,sg,Service
fraud-detection,unknown,Service
fraud-detection,us,Service
fraud-management,hk,Service
fraud-management,nl,Service
fraud-management,sg,Service
fraud-management,us,Service
fx-event-demux,unknown,Service
fx-event-mux,unknown,Service
gatekeeper.gatekeeper_servicepb.GatekeeperService,sg,Service
gcp-prod-hk-fx-public-api,hk,Service
gcp-prod-hk-mcp-api,hk,Service
gcp-prod-hk-mcp-quote-service,hk,Service
gcp-prod-hk-ref-rates-api,hk,Service
gcp-prod-sg-airstream-api,sg,Service
gcp-prod-sg-airstream-bridge,sg,Service
gcp-prod-sg-billing-center-publisher,sg,Service
gcp-prod-sg-conversion-api,sg,Service
gcp-prod-sg-fx-dashboard-api,sg,Service
gcp-prod-sg-fx-order-graphql-api,sg,Service
gcp-prod-sg-fx-public-api,sg,Service
gcp-prod-sg-gtpn-bridge,sg,Service
gcp-prod-sg-liquidity-planner-api,sg,Service
gcp-prod-sg-mcp-api,sg,Service
gcp-prod-sg-mcp-quote-service,sg,Service
gcp-prod-sg-open-position-api,sg,Service
gcp-prod-sg-order-api,sg,Service
gcp-prod-sg-order-market-monitor,sg,Service
gcp-prod-sg-position-adjustment-api,sg,Service
gcp-prod-sg-position-keeper,sg,Service
gcp-prod-sg-pricing-api,sg,Service
gcp-prod-sg-quote-api,sg,Service
gcp-prod-sg-ref-rates-api,sg,Service
gcp-prod-sg-refinitiv-wsock-adapter,sg,Service
gcp-prod-sg-revenue-control-api,sg,Service
gcp-prod-sg-scb-scale-adapter-v2,sg,Service
